name;classification;attack;defense;mystere
Aggron;Iron Armor Pokémon;140;230;E
Shuckle;Mold Pokémon;10;230;D
Steelix;Iron Snake Pokémon;125;230;E
Avalugg;Iceberg Pokémon;117;184;N
Cloyster;Bivalve Pokémon;95;180;C
Slowbro;Hermit Crab Pokémon;75;180;I
Groudon;Continent Pokémon;180;160;L
Onix;Rock Snake Pokémon;45;160;P
Doublade;Sword Pokémon;110;150;C
Metagross;Iron Leg Pokémon;145;150;X
Cofagrigus;Coffin Pokémon;50;145;Y
Probopass;Compass Pokémon;55;145;E
Forretress;Bagworm Pokémon;90;140;A
Golisopod;Hard Scale Pokémon;125;140;J
Lairon;Iron Armor Pokémon;90;140;M
Skarmory;Armor Bird Pokémon;80;140;S
Torkoal;Coal Pokémon;85;140;U
Buzzwole;Swollen Pokémon;139;139;J
Dusknoir;Gripper Pokémon;100;135;T
Nosepass;Compass Pokémon;45;135;U
Turtonator;Blast Turtle Pokémon;78;135;N
Kartana;Drawn Sword Pokémon;181;131;I
Dusclops;Beckon Pokémon;70;130;E
Pyukumuku;Sea Cucumber Pokémon;60;130;W
Uxie;Knowledge Pokémon;75;130;U
Crustle;Stone Home Pokémon;105;125;Z
Gliscor;Fang Scorp Pokémon;95;125;O
Kommo-o;Scaly Pokémon;110;125;F
Omastar;Spiral Pokémon;60;125;M
Tangrowth;Vine Pokémon;100;125;O
Chesnaught;Spiny Armor Pokémon;107;122;A
Gourgeist;Pumpkin Pokémon;100;122;D
Blastoise;Shellfish Pokémon;103;120;E
Dialga;Temporal Pokémon;120;120;D
Donphan;Armor Pokémon;120;120;J
Latias;Eon Pokémon;100;120;I
Magcargo;Lava Pokémon;50;120;C
Pinsir;Stagbeetle Pokémon;155;120;T
Rhydon;Drill Pokémon;130;120;S
Weezing;Poison Gas Pokémon;90;120;A
Zekrom;Deep Black Pokémon;150;120;F
Tyrantrum;Despot Pokémon;121;119;G
Hippowdon;Heavyweight Pokémon;112;118;T
Bronzong;Bronze Bell Pokémon;89;116;P
Barbaracle;Collective Pokémon;105;115;Q
Garchomp;Mach Pokémon;170;115;E
Heracross;Singlehorn Pokémon;185;115;V
Scrafty;Hoodlum Pokémon;90;115;S
Suicune;Aurora Pokémon;75;115;S
Tangela;Vine Pokémon;55;115;E
Tapu Bulu;Land Spirit Pokémon;130;115;Q
Durant;Iron Ant Pokémon;109;112;V
Altaria;Humming Pokémon;110;110;M
Glaceon;Fresh Snow Pokémon;60;110;L
Palossand;Sand Castle Pokémon;75;110;J
Regigigas;Colossal Pokémon;160;110;U
Umbreon;Moonlight Pokémon;65;110;I
Gyarados;Atrocious Pokémon;155;109;L
Spiritomb;Forbidden Pokémon;92;108;S
Rotom;Plasma Pokémon;65;107;X
Heatran;Lava Dome Pokémon;90;106;C
Ampharos;Light Pokémon;95;105;M
Boldore;Ore Pokémon;105;105;S
Gligar;Flyscorpion Pokémon;75;105;K
Gorebyss;South Sea Pokémon;84;105;G
Huntail;Deep Sea Pokémon;104;105;R
Kabutops;Shellfish Pokémon;115;105;V
Mandibuzz;Bone Vulture Pokémon;65;105;R
Mesprit;Emotion Pokémon;105;105;T
Miltank;Milk Cow Pokémon;80;105;Q
Necrozma;Prism Pokémon;107;101;X
Armaldo;Plate Pokémon;125;100;Z
Aron;Iron Armor Pokémon;70;100;E
Articuno;Freeze Pokémon;85;100;W
Bisharp;Sword Blade Pokémon;125;100;B
Camerupt;Eruption Pokémon;120;100;L
Feraligatr;Big Jaw Pokémon;105;100;U
Giratina;Renegade Pokémon;120;100;M
Jirachi;Wish Pokémon;100;100;W
Kangaskhan;Parent Pokémon;125;100;Y
Latios;Eon Pokémon;130;100;G
Manaphy;Seafaring Pokémon;100;100;N
Meganium;Herb Pokémon;82;100;O
Mew;New Species Pokémon;100;100;E
Mudsdale;Draft Horse Pokémon;125;100;B
Omanyte;Spiral Pokémon;40;100;C
Palkia;Spatial Pokémon;120;100;Z
Pelipper;Water Bird Pokémon;50;100;A
Rayquaza;Sky High Pokémon;180;100;R
Regice;Iceberg Pokémon;50;100;F
Reshiram;Vast White Pokémon;120;100;L
Shelgon;Endurance Pokémon;95;100;R
Slaking;Lazy Pokémon;160;100;D
Tsareena;Fruit Pokémon;120;98;X
Bouffalant;Bash Buffalo Pokémon;110;95;A
Charjabug;Battery Pokémon;82;95;Q
Conkeldurr;Muscular Pokémon;140;95;F
Cubone;Lonely Pokémon;50;95;V
Dragonite;Dragon Pokémon;134;95;D
Gallade;Blade Pokémon;165;95;E
Genesect;Paleozoic Pokémon;120;95;E
Hitmontop;Handstand Pokémon;95;95;G
Koffing;Poison Gas Pokémon;65;95;M
Lickilicky;Licking Pokémon;85;95;B
Magneton;Magnet Pokémon;60;95;Z
Quilladin;Spiny Armor Pokémon;78;95;K
Silvally;Synthetic Pokémon;95;95;I
Tauros;Wild Bull Pokémon;100;95;V
Type: Null;Synthetic Pokémon;95;95;R
Wormadam;Bagworm Pokémon;69;95;Q
Lopunny;Rabbit Pokémon;136;94;G
Araquanid;Water Bubble Pokémon;70;92;U
Ferroseed;Thorn Seed Pokémon;50;91;S
Chandelure;Luring Pokémon;55;90;O
Comfey;Posy Picker Pokémon;52;90;B
Deoxys;DNA Pokémon;95;90;A
Druddigon;Cave Pokémon;120;90;X
Duskull;Requiem Pokémon;40;90;N
Hakamo-o;Scaly Pokémon;75;90;E
Houndoom;Dark Pokémon;90;90;H
Incineroar;Heel Pokémon;115;90;R
Kabuto;Shellfish Pokémon;80;90;S
Kyogre;Sea Basin Pokémon;150;90;F
Kyurem;Boundary Pokémon;120;90;A
Lurantis;Bloom Sickle Pokémon;105;90;K
Meloetta;Melody Pokémon;128;90;U
Moltres;Flame Pokémon;100;90;B
Passimian;Teamwork Pokémon;120;90;U
Pineco;Bagworm Pokémon;65;90;W
Porygon2;Virtual Pokémon;80;90;C
Terrakion;Cavern Pokémon;129;90;S
Vikavolt;Stag Beetle Pokémon;70;90;E
Walrein;Ice Break Pokémon;80;90;D
Lunala;Moone Pokémon;113;89;J
Clawitzer;Howitzer Pokémon;73;88;Q
Nidoqueen;Drill Pokémon;92;87;O
Yanmega;Ogre Darner Pokémon;76;86;D
Aerodactyl;Fossil Pokémon;135;85;Z
Crawdaunt;Rogue Pokémon;120;85;I
Drampa;Placid Pokémon;60;85;Y
Grotle;Grove Pokémon;89;85;U
Gurdurr;Muscular Pokémon;105;85;R
Medicham;Meditate Pokémon;100;85;N
Musharna;Drowsing Pokémon;55;85;G
Quagsire;Water Fish Pokémon;85;85;D
Roggenrola;Mantle Pokémon;75;85;T
Samurott;Formidable Pokémon;100;85;B
Shelmet;Snail Pokémon;40;85;M
Starmie;Mysterious Pokémon;75;85;V
Togetic;Happiness Pokémon;40;85;H
Vanilluxe;Snowstorm Pokémon;95;85;X
Vileplume;Flower Pokémon;80;85;L
Stunfisk;Trap Pokémon;66;84;Y
Garbodor;Trash Heap Pokémon;95;82;B
Alomomola;Caring Pokémon;75;80;G
Arcanine;Legendary Pokémon;110;80;D
Azumarill;Aquarabbit Pokémon;50;80;B
Bayleef;Leaf Pokémon;62;80;K
Beartic;Freezing Pokémon;130;80;Z
Beldum;Iron Ball Pokémon;55;80;I
